FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170101;0000;18,0417;;;
170102;0000;27,75;;;
170103;0000;45,5833;;;
170104;0000;19,5833;;;
170105;0000;19,0833;;;
170106;0000;23,7083;;;
170107;0000;21,0833;;;
170108;0000;13,3333;;;
170109;0000;10;;;
170110;0000;16,0833;;;
170111;0000;17,3333;;;
170112;0000;28,375;;;
170113;0000;21,6957;;;
170114;0000;16,25;;;
170115;0000;17,2917;;;
170116;0000;23,5833;;;
170117;0000;24,125;;;
170118;0000;42,75;;;
170119;0000;78,9565;;;
170120;0000;;;;
170121;0000;;;;
170122;0000;60,5417;;;
170123;0000;52;;;
170124;0000;61,1667;;;
170125;0000;50,55;;;
170126;0000;53,75;;;
170127;0000;32,1304;;;
170128;0000;51,75;;;
170129;0000;60,3333;;;
170130;0000;63,3333;;;
170131;0000;44,25;;;
170201;0000;67,9167;;;
170202;0000;45,6667;;;
170203;0000;13,25;;;
170204;0000;11,5;;;
170205;0000;21,25;;;
170206;0000;25,875;;;
170207;0000;17,8333;;;
170208;0000;;;;
170209;0000;;;;
170210;0000;19,9583;;;
170211;0000;20,6667;;;
170212;0000;18,7083;;;
170213;0000;18,625;;;
170214;0000;21,375;;;
170215;0000;19,4783;;;
170216;0000;17,087;;;
170217;0000;13,4583;;;
170218;0000;12,7917;;;
170219;0000;17,875;;;
170220;0000;18,7083;;;
170221;0000;17,4583;;;
170222;0000;23,875;;;
170223;0000;27,9167;;;
170224;0000;20,9167;;;
170225;0000;17,3333;;;
170226;0000;12,5;;;
170227;0000;16,875;;;
170228;0000;12,2083;;;
170301;0000;14,5833;;;
170302;0000;16,75;;;
170303;0000;13,3913;;;
170304;0000;13,2083;;;
170305;0000;18,4583;;;
170306;0000;18,25;;;
170307;0000;22,9167;;;
170308;0000;18,9583;;;
170309;0000;7,95833;;;
170310;0000;14,7917;;;
170311;0000;27,25;;;
170312;0000;14,3333;;;
170313;0000;21,3333;;;
170314;0000;;;;
170315;0000;;;;
170316;0000;;;;
170317;0000;;;;
170318;0000;;;;
170319;0000;;;;
170320;0000;;;;
170321;0000;31,75;;;
170322;0000;30,875;;;
170323;0000;35,0435;;;
170324;0000;22,25;;;
170325;0000;26,125;;;
170326;0000;16,25;;;
170327;0000;21,75;;;
170328;0000;20,8095;;;
170329;0000;15,5417;;;
170330;0000;25,1;;;
170331;0000;21,4286;;;
170401;0000;21,2381;;;
170402;0000;20,1667;;;
170403;0000;18,4583;;;
170404;0000;17,125;;;
170405;0000;22,8333;;;
170406;0000;22,6667;;;
170407;0000;6,04167;;;
170408;0000;14,625;;;
170409;0000;20,1667;;;
170410;0000;23,9167;;;
170411;0000;21,4583;;;
170412;0000;23,4167;;;
170413;0000;22,875;;;
170414;0000;21,125;;;
170415;0000;31,2083;;;
170416;0000;32,9167;;;
170417;0000;29,7917;;;
170418;0000;20,5;;;
