FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170101;0000;;;;
170102;0000;;;;
170103;0000;;;;
170104;0000;40;;;
170105;0000;17,0833;;;
170106;0000;17,3333;;;
170107;0000;18,8333;;;
170108;0000;12,9167;;;
170109;0000;8,125;;;
170110;0000;13,875;;;
170111;0000;17,625;;;
170112;0000;22,5;;;
170113;0000;16,9545;;;
170114;0000;11,2917;;;
170115;0000;16,6667;;;
170116;0000;25,0417;;;
170117;0000;21;;;
170118;0000;29,2917;;;
170119;0000;64,125;;;
170120;0000;92;;;
170121;0000;70,5833;;;
170122;0000;60,125;;;
170123;0000;47,0417;;;
170124;0000;52,5417;;;
170125;0000;37,625;;;
170126;0000;41,375;;;
170127;0000;33,5417;;;
170128;0000;49,6667;;;
170129;0000;64,6522;;;
170130;0000;63;;;
170131;0000;37,8333;;;
170201;0000;50,4167;;;
170202;0000;39,1667;;;
170203;0000;13,6667;;;
170204;0000;9,75;;;
170205;0000;13,6667;;;
170206;0000;17,5417;;;
170207;0000;14,3333;;;
170208;0000;15,6667;;;
170209;0000;14,25;;;
170210;0000;14;;;
170211;0000;11,75;;;
170212;0000;12,5833;;;
170213;0000;14,625;;;
170214;0000;17,875;;;
170215;0000;17,5833;;;
170216;0000;14,8333;;;
170217;0000;11,5;;;
170218;0000;8,66667;;;
170219;0000;12;;;
170220;0000;12,2083;;;
170221;0000;12,125;;;
170222;0000;16,4167;;;
170223;0000;22,125;;;
170224;0000;18,625;;;
170225;0000;16;;;
170226;0000;13,9583;;;
170227;0000;12,875;;;
170228;0000;12,9167;;;
170301;0000;11,8333;;;
170302;0000;7,79167;;;
170303;0000;11,087;;;
170304;0000;8,91304;;;
170305;0000;9,875;;;
170306;0000;11,1667;;;
170307;0000;;;;
170308;0000;;;;
170309;0000;;;;
170310;0000;;;;
170311;0000;20,375;;;
170312;0000;13,25;;;
170313;0000;16,5417;;;
170314;0000;22,5;;;
170315;0000;18,7083;;;
170316;0000;19;;;
170317;0000;20,2917;;;
170318;0000;14,625;;;
170319;0000;16,875;;;
170320;0000;24,7917;;;
170321;0000;25,4583;;;
170322;0000;26,125;;;
170323;0000;21,875;;;
170324;0000;26,5;;;
170325;0000;26,7917;;;
170326;0000;15,125;;;
170327;0000;16,2917;;;
170328;0000;19,1667;;;
170329;0000;14,4167;;;
170330;0000;15,375;;;
170331;0000;16;;;
170401;0000;14,4167;;;
170402;0000;13,7083;;;
170403;0000;16,7917;;;
170404;0000;14,375;;;
170405;0000;17,3333;;;
170406;0000;16,375;;;
170407;0000;7,70833;;;
170408;0000;9,75;;;
170409;0000;11,0417;;;
170410;0000;13,7083;;;
170411;0000;14,7917;;;
170412;0000;19,7391;;;
170413;0000;19,9583;;;
170414;0000;14,6667;;;
170415;0000;18,4167;;;
170416;0000;20,4583;;;
170417;0000;22,7083;;;
170418;0000;16,9167;;;
170419;0000;16,875;;;
170420;0000;;;;
170421;0000;24,6667;;;
170422;0000;21,1667;;;
170423;0000;16,5417;;;
170424;0000;20;;;
170425;0000;19,875;;;
170426;0000;20,625;;;
170427;0000;16,1667;;;
170428;0000;18,4583;;;
170429;0000;19,9583;;;
170430;0000;20,625;;;
170501;0000;29;;;
170502;0000;40;;;
170503;0000;28;;;
170504;0000;28;;;
170505;0000;33;;;
170506;0000;45;;;
170507;0000;28;;;
170508;0000;13;;;
170509;0000;29;;;
170510;0000;24;;;
170511;0000;7;;;
170512;0000;12;;;
170513;0000;12;;;
170514;0000;12;;;
170515;0000;17;;;
170516;0000;26;;;
170517;0000;26;;;
170518;0000;6;;;
