FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170101;0000;21,5417;;;
170102;0000;31,25;;;
170103;0000;52,6667;;;
170104;0000;31,2083;;;
170105;0000;16,5417;;;
170106;0000;22,375;;;
170107;0000;37,4583;;;
170108;0000;24,625;;;
170109;0000;6,33333;;;
170110;0000;24,25;;;
170111;0000;17,0833;;;
170112;0000;22,381;;;
170113;0000;18,2083;;;
170114;0000;17,4167;;;
170115;0000;20,2917;;;
170116;0000;24,7917;;;
170117;0000;28,2917;;;
170118;0000;37,8333;;;
170119;0000;74,375;;;
170120;0000;67,2917;;;
170121;0000;71,4545;;;
170122;0000;57,2917;;;
170123;0000;45,0833;;;
170124;0000;63,625;;;
170125;0000;32,5217;;;
170126;0000;56,0455;;;
170127;0000;;;;
170128;0000;58,3182;;;
170129;0000;55,0476;;;
170130;0000;59,0435;;;
170131;0000;35,5833;;;
170201;0000;54,5833;;;
170202;0000;40,0833;;;
170203;0000;9,79167;;;
170204;0000;8,95833;;;
170205;0000;14,4583;;;
170206;0000;18,0833;;;
170207;0000;18,5417;;;
170208;0000;11,75;;;
170209;0000;11,25;;;
170210;0000;15,4167;;;
170211;0000;17,875;;;
170212;0000;18,0833;;;
170213;0000;26,9167;;;
170214;0000;26,2083;;;
170215;0000;17,875;;;
170216;0000;14,0833;;;
170217;0000;11,7083;;;
170218;0000;12,5;;;
170219;0000;23,3333;;;
170220;0000;30,8261;;;
170221;0000;15,3333;;;
170222;0000;19,2609;;;
170223;0000;22,1739;;;
170224;0000;25,9167;;;
170225;0000;14,9583;;;
170226;0000;10,3333;;;
170227;0000;9,79167;;;
170228;0000;9,79167;;;
170301;0000;10,9583;;;
170302;0000;8,375;;;
170303;0000;10,9583;;;
170304;0000;19,3333;;;
170305;0000;13,1667;;;
170306;0000;14,2083;;;
170307;0000;18,7917;;;
170308;0000;14,375;;;
170309;0000;5,75;;;
170310;0000;13,7917;;;
170311;0000;15,9583;;;
170312;0000;15,8333;;;
170313;0000;23,0417;;;
